번호,등록번호,서명,저자,서명권차,총서명,저자기호,별치기호,분류기호,청구권차,복본기호,ISBN,딸림자료,출판사,출판년도,발행지,페이지,크기,가격,등록일
350,LHCGSL00350,"아름다운 삶, 사랑 그리고 마무리",헬렌 니어링 글,,,니64ㅇ,,844,,,9791163142720,,보리,2022,,280 p,23 cm,16000,구매
351,LHCGSL00351,아메리칸,헨리 제임스 지음,,,세14ㅁ,,808,31,,9788937460319,,민음사,2014,,534 p,23 cm,14000,구매
352,LHCGSL00352,아몬드,손원평 지음,,,손66ㅇ,,813.7,,,9791198363503,,다즐링,2023,,308 p,23 cm,16800,구매
353,LHCGSL00353,아버지의 해방일지,정지아 지음,,,정78ㅇ,,813.7,,,9788936438838,,창비,2022,,268 p,19 cm,15000,구매
354,LHCGSL00354,(아이의 마음과 생각이 크게 자라는)하루 3줄 초등 글쓰기의 기적,윤희솔 지음,,,윤97ㅎ,,802,,,9791188700592,,청림Life(청림출판),2020,,272 p,23 cm,14500,구매
355,LHCGSL00355,아침에는 죽음을 생각하는 것이 좋다,김영민 지음,,,김64ㅇ,,818,,,9791167741165,,어크로스,2023,,388 p,18 cm,18500,구매
356,LHCGSL00356,아파트 공동체,하성규 외 지음,,,하54ㅇ,,331.48,,,9791130306568,,박영사,2018,,315 p,23 cm,18000,구매
357,LHCGSL00357,아픈 몸을 살리는 1분 스트레칭,후지모리 요시히로 지음,,,후78ㅇ,,517.32,,,9791191013429,,북라이프,2022,,123 p,21 cm,12500,구매
358,LHCGSL00358,아픈 영혼 책을 만나다,김영아 지음,,,김64ㅇ,,029.8,,,9788964361917,,삼인,2021,,260 p,22 cm,14000,구매
359,LHCGSL00359,"알로하, 나의 엄마들",이금이 지음,,,이17ㅇ,,813.7,,,9788936477936,,창비,2020,,400 p,21 cm,14800,구매
360,LHCGSL00360,알사탕,백희나 글·그림,,,백97ㅇ,아,813.8,,,9791198610614,,스토리보울,2024,,48 p,25x25 cm,15000,구매
361,LHCGSL00361,암흑의 핵심,조셉 콘래드 지음,,,세14ㅁ,,808,7,,9788937460074,,민음사,2010,,199 p,23 cm,7000,구매
362,LHCGSL00362,애쓰지 않고 편안하게,김수현 글·그림,,,김56ㅇ,,818,,,9791130629636,,놀(다산북스),2020,,293 p,19 cm,15000,구매
363,LHCGSL00363,양철북.1,권터 그라스 [지음],,,세14ㅁ,,808,32,,9788937460326,,민음사,2019,,479 p,23 cm,13000,구매
364,LHCGSL00364,양철북.2,권터 그라스 [지음],,,세14ㅁ,,808,33,,9788937460333,,민음사,2019,,508 p,23 cm,13000,구매
365,LHCGSL00365,어느 채식의사의 고백,존 맥두걸 지음,,,맥26ㅇ,,517.548,,,9791187330257,,사이몬북스,2022,,312 p,21 cm,16000,구매
366,LHCGSL00366,(복잡한 수학 문제처럼 알쏭달쏭한)어떤 사랑의 확률,이묵돌 지음,,,이36ㅇ,,813.7,,,9791190299138,,피카(FIKA),2020,,224 p,19 cm,13500,구매
367,LHCGSL00367,어떻게 경제적 자유를 얻을 것인가,이동훈 지음,,,이25ㅇ,,327.04,,,9791167140210,,해냄,2021,,309 p,23 cm,16800,구매
368,LHCGSL00368,어떻게 공부할 것인가,헨리 뢰디거,,,뢰28ㅇ,,373,,,9788937834868,,와이즈베리(미래엔),2014,,355 p,22 cm,14000,구매
369,LHCGSL00369,어떻게 말해줘야 할까,오은영 글,,,오67ㅇ,,598.1,,,9788934986652,,김영사,2020,,397 p,19 cm,17500,구매
370,LHCGSL00370,어려도 지구는 우리가 구할 거야!,롤 커비 글,,,커48ㅇ,아,453.9,,,9791158363062,,책읽는곰,2022,,[40] p,29 cm,13000,구매
371,LHCGSL00371,어른의 대화법,임정민 지음,,,임74ㅇ,,802.56,,,9791168220348,,서사원,2022,,252 p,21 cm,15800,구매
372,LHCGSL00372,어린 왕자,앙투안 드 생텍쥐페리 지음,,,생884ㅇ,,863,,,9788932917245,,열린책들,2015,,132 p,23 cm,11800,구매
373,LHCGSL00373,어린이라는 세계,김소영 지음,,,김55ㅇ,,818,,,9791160946918,,사계절,2020,,259 p,21 cm,15000,구매
374,LHCGSL00374,(어린이를 위한)역사의 쓸모.1,최태성 글,,,최883ㅇ,아,911,1,,9791130692661,,다산어린이(다산북스),2022,,208 p,22 cm,15000,구매
375,LHCGSL00375,"어서오세요, 휴남동 서점입니다",황보름 지음,,,황45ㅇ,,813.7,,,9791197377143,,클레이하우스,2022,,363 p,21 cm,15000,구매
376,LHCGSL00376,"어서 와, 연예기획사는 처음이지?",벨루가 지음,,,벨296ㅇ,,818,,,9791190015882,,마인드빌딩,2022,,170 p,19 cm,13000,구매
377,LHCGSL00377,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,김용택 지음,,,김65ㅇ,,808.1,,,9788959139309,,예담(위즈덤하우스),2015,,280 p,21 cm,15800,구매
378,LHCGSL00378,엄마니까 느끼는 감정,정우열 지음,,,정66ㅇ,,186.5,,,9791161691145,,서랍의날씨,2020,,304 p,21 cm,14500,구매
379,LHCGSL00379,엄청나게 커다란 소원,앤서니 브라운 글·그림,,,브292ㅇ,아,843.6,,,9788901259284,,웅진주니어(웅진씽크빅),2022,,[32] p,29 cm,13000,구매
380,LHCGSL00380,(업그레이드)먼나라 이웃나라.1,이원복 글·그림,,,이66ㅁ,아,909,1,,9788934983958,,김영사,2018,,228 p,26 cm,12900,구매
381,LHCGSL00381,(업그레이드)먼나라 이웃나라.2,이원복 글·그림,,,이66ㅁ,아,909,2,,9788934983965,,김영사,2018,,220 p,26 cm,12900,구매
382,LHCGSL00382,(업그레이드)먼나라 이웃나라.3,이원복 글·그림,,,이66ㅁ,아,909,3,,9788934983972,,김영사,2018,,218 p,26 cm,12900,구매
383,LHCGSL00383,(업그레이드)먼나라 이웃나라.4,이원복 글·그림,,,이66ㅁ,아,909,4,,9788934983989,,김영사,2018,,256 p,26 cm,12900,구매
384,LHCGSL00384,(업그레이드)먼나라 이웃나라.5,이원복 글·그림,,,이66ㅁ,아,909,5,,9788934983996,,김영사,2018,,266 p,26 cm,12900,구매
385,LHCGSL00385,(업그레이드)먼나라 이웃나라.6,이원복 글·그림,,,이66ㅁ,아,909,6,,9788934984009,,김영사,2018,,275 p,26 cm,12900,구매
386,LHCGSL00386,(업그레이드)먼나라 이웃나라.7,이원복 글·그림,,,이66ㅁ,아,909,7,,9788934984016,,김영사,2018,,277 p,26 cm,12900,구매
387,LHCGSL00387,(업그레이드)먼나라 이웃나라.8,이원복 글·그림,,,이66ㅁ,아,909,8,,9788934984023,,김영사,2018,,286 p,26 cm,12900,구매
388,LHCGSL00388,(업그레이드)먼나라 이웃나라.9,이원복 글·그림,,,이66ㅁ,아,909,9,,9788934984030,,김영사,2018,,269 p,26 cm,12900,구매
389,LHCGSL00389,(업그레이드)먼나라 이웃나라.10,이원복 글·그림,,,이66ㅁ,아,909,10,,9788934984047,,김영사,2018,,242 p,26 cm,12900,구매
390,LHCGSL00390,(업그레이드)먼나라 이웃나라.11,이원복 글·그림,,,이66ㅁ,아,909,11,,9788934984054,,김영사,2018,,245 p,26 cm,12900,구매
391,LHCGSL00391,(업그레이드)먼나라 이웃나라.12,이원복 글·그림,,,이66ㅁ,아,909,12,,9788934984061,,김영사,2018,,275 p,26 cm,12900,구매
392,LHCGSL00392,(업그레이드)먼나라 이웃나라.13,이원복 글·그림,,,이66ㅁ,아,909,13,,9788934984078,,김영사,2018,,215 p,26 cm,12900,구매
393,LHCGSL00393,(업그레이드)먼나라 이웃나라.14,이원복 글·그림,,,이66ㅁ,아,909,14,,9788934984085,,김영사,2018,,257 p,26 cm,12900,구매
394,LHCGSL00394,(업그레이드)먼나라 이웃나라.15,이원복 글·그림,,,이66ㅁ,아,909,15,,9788934984092,,김영사,2018,,261 p,26 cm,12900,구매
395,LHCGSL00395,(에이든)국내여행 가이드북,이정기,,,이74ㄱ,,981.102,,,9791190073349,,타블라라사,2023,,864 p,21 cm,26500,구매
396,LHCGSL00396,여행의 이유,김영하 지음,,,김64ㅇ,,816.7,,,9791191114591,,복복서가,2024,,260 p,19 cm,16800,구매
397,LHCGSL00397,연금술사,파울로 코엘료 지음,,,코64ㅇ,,879,,,9788982814471,,문학동네,2011,,278 p,20 cm,12000,구매
398,LHCGSL00398,연필,김혜은 지음,,,김94ㅇ,아,813.8,,,9791197228544,,향,2021,,[44] p,29 cm,15000,구매
399,LHCGSL00399,(영유아)몬테소리 육아대백과,시모네 데이비스 지음,,,데68ㅁ,,375.1,,,9791189719791,,키,2019,,275 p,24 cm,16000,구매
400,LHCGSL00400,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 지음,,,이86ㅇ,,833.6,,,9791191043297,,모모(바이포엠 스튜디오),2021,,375 p,19 cm,14000,구매
401,LHCGSL00401,오늘부터의 세계,안희경 지음,,,안97ㅇ,,331.5414,,,9791157062010,,메디치미디어,2020,,232 p,22 cm,16000,구매
402,LHCGSL00402,오드리 헵번처럼,멜리사 헬스턴 지음,,,헬57ㅇ,,199.1,,,9791190299619,,피카(FIKA),2022,,296 p,19 cm,16500,구매
403,LHCGSL00403,오백 년째 열다섯,김혜정 지음,,,김94ㅇ,,813.7,1,,9791168121065,,위즈덤하우스,2022,,220 p,21 cm,12500,구매
404,LHCGSL00404,오백 년째 열다섯.2,김혜정 지음,,,김94ㅇ,,813.7,2,,9791168125803,,위즈덤하우스,2023,,228 p,21 cm,13500,구매
405,LHCGSL00405,오십부터는 노후 걱정 없이 살아야 한다,강창희,,,강82ㅇ,,591.9,,,9791191347418,,포레스트북스(콘텐츠그룹 포레스트),2021,,351 p,21 cm,16000,구매
406,LHCGSL00406,오십부터는 우아하게 살아야 한다,요시토모 유미 지음,,,요58ㅇ,,838,,,9791196990718,,유노북스,2020,,204 p,21 cm,14000,구매
407,LHCGSL00407,(오십에 읽는)논어,최종엽 지음,,,최75ㄴ,,148.3,,,9791190826839,,유노북스,2021,,299 p,21 cm,16000,구매
408,LHCGSL00408,완득이,김려령 지음,,,김294ㅇ,,813.7,,,9788936456085,,창비,2010,,211 p,21 cm,13000,구매
409,LHCGSL00409,완벽한 날들,메리 올리버 지음,,,올298ㅇ,,844,,,9788960901551,,마음산책,2013,,168 p,21 cm,13000,구매
410,LHCGSL00410,완전한 행복,정유정 지음,,,정66ㅇ,,813.7,,,9791167370280,,은행나무,2021,,524 p,21 cm,15800,구매
411,LHCGSL00411,왜 나는 너를 사랑하는가,알랭 드 보통 지음,,,보885ㅇ,,843.6,,,9788986836837,,청미래,2022,,274 p,20 cm,14000,구매
412,LHCGSL00412,왜 세계의 가난은 사라지지 않는가,장 지글러 지음,,,지17ㅇ,,322.01,,,9788952795496,,시공사,2019,,199 p,20 cm,13000,구매
413,LHCGSL00413,왜 세계의 절반은 굶주리는가?,장 지글러 지음,,,지17ㅇ,,334.21,,,9791187038030,,갈라파고스,2016,,232 p,21 cm,12800,구매
414,LHCGSL00414,외딴방,신경숙 [지음],,,신14ㅇ,,813.7,,,9788954623315,,문학동네,2014,,541 p,19 cm,15000,구매
415,LHCGSL00415,용의자 X의 헌신,히가시노 게이고 지음,,,히12ㅇ,,833.6,,,9788990982704,,재인,2017,,448 p,20 cm,18800,구매
416,LHCGSL00416,우리 곧 사라져요,이예숙 글·그림,,,이64ㅇ,아,813.8,,,9791191667110,,노란상상,2021,,44 p,29 cm,13000,구매
417,LHCGSL00417,우리가 빛의 속도로 갈 수 없다면,김초엽 지음,,,김84ㅇ,,813.7,,,9791190090018,,허블,2019,,341 p,21 cm,14000,구매
418,LHCGSL00418,우리들의 하느님,권정생 지음,,,권74ㅇ,,814.7,,,9788990274427,,녹색평론사,2008,,317 p,22 cm,15000,구매
419,LHCGSL00419,우리의 불행은 당연하지 않습니다,김누리 지음,,,김196ㅇ,,330.911,,,9788965749899,,해냄,2020,,259 p,21 cm,16500,구매
420,LHCGSL00420,우주시대에 오신 것을 환영합니다,켈리 제라디 지음,,,제292ㅇ,,558.9,,,9791196725297,,혜윰터,2022,,247 p,20 cm,17000,구매
421,LHCGSL00421,(우주에서 가장 행복한)100층 로켓,마이크 스미스 글·그림,,,스38ㅂ,아,843.6,,,9791166373633,,사파리(이퍼블릭),2021,,[32] p,27 cm,13000,구매
422,LHCGSL00422,운다고 달라지는 일은 아무것도 없겠지만,박준 지음,,,박76ㅇ,,814.7,,,9791196075170,,난다(문학동네),2017,,191 p,20 cm,14000,구매
423,LHCGSL00423,(통증 없이 백 세까지 살고 싶다면)운동 말고 움직임 리셋,홍정기 지음,,,홍74ㅇ,,517.32,,,9788954762816,,EBS Books(한국교육방송공사),2022,,287 p,21 cm,16000,구매
424,LHCGSL00424,운전해 봐! 소방차,네모펜스튜디오 지음,,,네35ㅇ,아,556,,,9791158732318,,제제의숲(심야책방),2022,,36 p,29 cm,13800,구매
425,LHCGSL00425,원씽,게리 켈러,,,켈294ㅇ,,325.211,,,9788997575169,,비즈니스북스,2013,,279 p,21 cm,16800,구매
426,LHCGSL00426,월든,헨리 데이빗 소로우 지음,,,소295ㅇ,,844,,,9788956605418,,은행나무,2014,,502 p,21 cm,13000,구매
427,LHCGSL00427,위저드 베이커리,구병모 지음,,,구44ㅇ,,813.7,,,9788936434618,,창비,2022,,256 p,20 cm,14000,구매
428,LHCGSL00428,유시민의 글쓰기 특강,유시민 지음,,,유58ㅇ,,802,,,9788965133520,,생각의길,2015,,292 p,23 cm,15000,구매
429,LHCGSL00429,육식의 종말,제레미 리프킨 지음,,,리897ㅇ,,381.75,,,9788952717573,,시공사,2011,,462 p,23 cm,13000,구매
430,LHCGSL00430,이 時代의 사랑,최승자 지음,,,최57ㅇ,,811.7,,,9788932001258,,문학과지성사,2013,,96 p,21 cm,12000,구매
431,LHCGSL00431,"이반 데니소비치, 수용소의 하루",알렉산드르 솔제니친 지음,,,세14ㅁ,,808,13,,9788937460135,,민음사,2010,,223 p,23 cm,8000,구매
432,LHCGSL00432,(어디를 떠나도 자신있는)이보영의 여행영어회화,이보영 지음,,,이45ㅇ,,747.5,,,9791196012700,,키스톤,2017,,276 p,21 cm,12000,구매
433,LHCGSL00433,이상한 과자 가게 전천당.1,히로시마 레이코 글,,,히295ㅇ,아,833.8,1,,9791164060481,,길벗스쿨,2019,,148 p,20 cm,12000,구매
434,LHCGSL00434,이상한 과자 가게 전천당.2,히로시마 레이코 글,,,히295ㅇ,아,833.8,2,,9791164060498,,길벗스쿨,2019,,148 p,20 cm,12000,구매
435,LHCGSL00435,이상한 과자 가게 전천당.3,히로시마 레이코 글,,,히295ㅇ,아,833.8,3,,9791164060931,,길벗스쿨,2019,,152 p,20 cm,12000,구매
436,LHCGSL00436,이상한 과자 가게 전천당.4,히로시마 레이코 글,,,히295ㅇ,아,833.8,4,,9791164060948,,길벗스쿨,2019,,168 p,20 cm,12000,구매
437,LHCGSL00437,이상한 과자 가게 전천당.5,히로시마 레이코 글,,,히295ㅇ,아,833.8,5,,9791164062065,,길벗스쿨,2020,,151 p,20 cm,12000,구매
438,LHCGSL00438,이상한 과자 가게 전천당.6,히로시마 레이코 글,,,히295ㅇ,아,833.8,6,,9791164062072,,길벗스쿨,2020,,160 p,20 cm,12000,구매
439,LHCGSL00439,이상한 과자 가게 전천당.7,히로시마 레이코 글,,,히295ㅇ,아,833.8,7,,9791164062270,,길벗스쿨,2020,,184 p,20 cm,12000,구매
440,LHCGSL00440,이상한 과자 가게 전천당.8,히로시마 레이코 글,,,히295ㅇ,아,833.8,8,,9791164062287,,길벗스쿨,2020,,192 p,20 cm,12000,구매
441,LHCGSL00441,이상한 과자 가게 전천당.9,히로시마 레이코 글,,,히295ㅇ,아,833.8,9,,9791164062898,,길벗스쿨,2020,,168 p,20 cm,12000,구매
442,LHCGSL00442,이어령의 마지막 수업,김지수 지음,,,김78ㅇ,,199.1,,,9791170400523,,열림원,2021,,319 p,21 cm,16500,구매
443,LHCGSL00443,이토록 공부가 재미있어지는 순간,박성혁 지음,,,박54ㅇ,,373,,,9791130604626,,다산3.0(다산북스),2015,,315 p,21 cm,18000,구매
444,LHCGSL00444,이토록 멋진 문장이라면,장석주 쓰고 엮음,,,장54ㅇ,,818,,,9791155400388,,추수밭,2015,,195 p,23 cm,13800,구매
445,LHCGSL00445,이토록 평범한 미래,김연수 지음,,,김64ㅇ,,813.7,,,9788954680004,,문학동네,2022,,273 p,20 cm,14000,구매
446,LHCGSL00446,이피게니에·스텔라,요한 볼프강 폰 괴테 지음,,,세14ㅁ,,808,26,,9788937460265,,민음사,2010,,398 p,23 cm,9500,구매
447,LHCGSL00447,인간의 굴레에서.1,서머싯 몸 지음,,,세14ㅁ,,808,11,,9788937460111,,민음사,2011,,518 p,23 cm,13000,구매
448,LHCGSL00448,인간의 굴레에서.2,서머싯 몸 지음,,,세14ㅁ,,808,12,,9788937460128,,민음사,2011,,526 p,23 cm,13000,구매
449,LHCGSL00449,인류에게 필요한 11가지 약 이야기,정승규 지음,,,정57ㅇ,,518,,,9791190467483,,반니,2020,,312 p,20 cm,16000,구매
450,LHCGSL00450,인스타 브레인,안데르스 한센 지음,,,한54ㅇ,,511.1813,,,9791157686179,,동양북스,2020,,293 p,21 cm,15000,구매
451,LHCGSL00451,일러바치는 심장,에드거 앨런 포 지음,,,포64ㅇ,,843.4,,,9788997870363,,스피리투스,2019,,216 p,19 cm,11500,구매
452,LHCGSL00452,일상의 경영학,이우창 지음,,,이66ㅇ,,325.211,,,9788970139340,,비즈페이퍼(책세상),2015,,343 p,22 cm,14800,구매
453,LHCGSL00453,일의 기쁨과 슬픔,장류진 지음,,,장296ㅇ,,813.7,,,9788936438036,,창비,2019,,235 p,21 cm,14000,구매
454,LHCGSL00454,일하고 일하고 사랑을 하고,최지인 지음,,,최78ㅇ,,811.7,,,9788936424725,,창비,2022,,216 p,21 cm,9000,구매
455,LHCGSL00455,작별인사  : 김영하 장편소설,김영하,,,김64ㅈ,,813.62,,,9791191114225,,복복서가,2022,서울:,305 p.:,19 cm,\14000,구매
456,LHCGSL00456,작별하지 않는다  : 한강 장편소설,한강 지음,,문학동네 장편소설,문92,,813.7,,,9788954682152,,문학동네,2024,파주:,329 p.:,21 cm,\14000,구매
457,LHCGSL00457,작은 기쁨 채집 생활  : 김혜원 에세이  : 평범한 일상이 좋아지는 나만의 작은 규칙들,김혜원,,,김94ㅈ,,818,,,9791159350665,,Indigo :글담출판사,2020,서울:,221 p.:,19 cm,\15000,구매
458,LHCGSL00458,자기 앞의 生  : 에밀 아자르 장편소설,"에밀 아자르 지음,용경식 옮김",,문학동네 세계문학,문92,,863,,,9788982816635,,문학동네,2024,파주:,371 p.:,20 cm,\13000,구매
459,LHCGSL00459,장미의 이름 : 움베르토 에코 장편소설,"움베르토 에코 지음,이윤기 옮김",상,열린책들 세계문학,에875ㅈ,,883,080,,9788932909974,,열린책들,2022,파주:,435 p.:,20cm,\12800,구매
460,LHCGSL00460,장미의 이름 : 움베르토 에코 장편소설,"움베르토 에코 지음,이윤기 옮김",하,열린책들 세계문학,에875ㅈ,,883,081,,9788932909981,,열린책들,2022,파주:,865p.:,20cm,\12800,구매
461,LHCGSL00461,저만치 혼자서,김훈 지음,,,김96ㅈ,,813.7,,,9788954686921,,문학동네,2022,,264 p,19 cm,15000,구매
462,LHCGSL00462,적정한 삶,김경일 [지음],,,김14ㅈ,,181.3,,,9788997743520,,진성북스,2021,,359 p,21 cm,17000,구매
463,LHCGSL00463,젊은 베르테르의 슬픔,요한 볼프강 폰 괴테 지음,,,세14ㅁ,,808,25,,9788937460258,,민음사,2010,,244 p,23 cm,8000,구매
464,LHCGSL00464,젊은 예술가의 초상,제임스 조이스 지음,,,세14ㅁ,,808,45,,9788937460456,,민음사,2010,,403 p,23 cm,14000,구매
465,LHCGSL00465,정글만리.1,조정래 지음,,,조74ㅈ,,813.7,1,,9788965744023,,해냄,2014,,411 p,20 cm,16500,구매
466,LHCGSL00466,정글만리.2,조정래 지음,,,조74ㅈ,,813.7,2,,9788965744030,,해냄,2014,,405 p,20 cm,16500,구매
467,LHCGSL00467,정글만리.3,조정래 지음,,,조74ㅈ,,813.7,3,,9788965744047,,해냄,2014,,419 p,20 cm,16500,구매
468,LHCGSL00468,정원가의 열두 달,카렐 차페크 지음,,,차894ㅈ,,892.96,,,9791195760947,,펜연필독약,2019,,201 p,20 cm,12500,구매
469,LHCGSL00469,정의란 무엇인가,마이클 샌델 지음,,,샌24ㅈ,,340.1,,,9788937834790,,와이즈베리(미래엔),2014,,443 p,23 cm,15000,구매
470,LHCGSL00470,조금 알고 적당히 모르는 오십이 되었다,이주희 지음,,,이76ㅈ,,818,,,9788935213405,,청림,2021,,232 p,21 cm,14500,구매
471,LHCGSL00471,조선 미술관,탁현규 지음,,,탁94ㅈ,,653.11,,,9788968334177,,블랙피쉬(백도씨),2023,,280 p,21 cm,16800,구매
472,LHCGSL00472,좀 더 진화한 공룡 도감,고바야시 요시쓰구 저,,,고42ㅈ,아,457.279,,,9788960498464,,사람in,2020,,180 p,24 cm,13000,구매
473,LHCGSL00473,종의 기원,정유정 지음,,,정66ㅈ,,813.7,,,9788956609959,,은행나무,2016,,384 p,21 cm,13000,구매
474,LHCGSL00474,좋은지 나쁜지 누가 아는가,류시화 [지음],,,류58ㅈ,,814.7,,,9791186900789,,더숲,2019,,254 p,20 cm,15000,구매
475,LHCGSL00475,죽고 싶지만 떡볶이는 먹고 싶어,백세희 지음,,,백54ㅈ,,818,,,9791196394509,,흔,2018,,207 p,19 cm,13800,구매
476,LHCGSL00476,중국신화전설.1,위앤커 지음,,,세14ㅁ,,808,16,,9788937460166,,민음사,2011,,543 p,23 cm,13000,구매
477,LHCGSL00477,중국신화전설.2,위앤커 지음,,,세14ㅁ,,808,17,,9788937460173,,민음사,2011,,387 p,23 cm,9500,구매
478,LHCGSL00478,지구 끝의 온실,김초엽 지음,,,김84ㅈ,,813.7,,,9791191824001,,자이언트북스,2021,,392 p,19 cm,15000,구매
479,LHCGSL00479,지구에는 생물이 가득가득,닐 레이튼 글·그림,,,레68ㅈ,아,472,,,9788974993894,,재능교육,2021,,40 p,26 cm,13000,구매
480,LHCGSL00480,지구의 일,김용택 지음,,,김65ㅈ,아,811.8,,,9788983899194,,바우솔,2021,,40 p,25 cm,12000,구매
481,LHCGSL00481,지금 이 순간을 살아라,에크하르트 톨레 지음,,,톨294ㅈ,,214,,,9788987203959,,양문,2008,,327 p,21 cm,12500,구매
482,LHCGSL00482,지금 이대로 좋다,법륜 지음,,,법296ㅈ,,224.2,,,9791187297321,,정토,2021,,319 p,24 cm,12000,구매
483,LHCGSL00483,지성에서 영성으로,이어령 지음,,,이64ㅈ,,234.8,,,9791188047178,,열림원,2017,,348 p,24 cm,19800,구매
484,LHCGSL00484,지적 대화를 위한 넓고 얕은 지식.1,채사장 지음,,,채52ㅈ,,001.3,1,,9791190313186,,Whale Books(웨일북),2020,,388 p,21 cm,16000,구매
485,LHCGSL00485,지적 대화를 위한 넓고 얕은 지식.2,채사장 지음,,,채52ㅈ,,001.3,2,,9791190313193,,Whale Books(웨일북),2020,,334 p,21 cm,16000,구매
486,LHCGSL00486,진짜 기본 베이킹책.2탄,베이킹팀 굽ㄷa 지음,,,베68ㅈ,,594.71,2,,9791185473956,,레시피팩토리,2021,,196 p,24 cm,15800,구매
487,LHCGSL00487,(집밥이 더 맛있어지는)명랑쌤 비법 국물요리,이혜원 지음,,,이94ㅁ,,594.5,,,9791185473673,,레시피팩토리,2020,,160 p,24 cm,17600,구매
488,LHCGSL00488,차라투스트라는 이렇게 말했다,프리드리히 니체 지음,,,세14ㅁ,,808,94,,9788937460944,,민음사,2010,,588 p,23 cm,13000,구매
489,LHCGSL00489,참을수 없는 존재의 가벼움,밀란 쿤데라 지음,,,세14ㅁ,,808,234,,9788937462344,,민음사,2011,,484 p,23 cm,13000,구매
490,LHCGSL00490,창가의 토토,구로야나기 테츠코 지음,,,구295ㅊ,,833.6,,,9788934996309,,김영사,2019,,352 p,19 cm,13800,구매
491,LHCGSL00491,책 좀 빌려줄래?,그랜트 스나이더 지음,,,스192ㅊ,,029.04,,,9791155812846,,월북,2020,,124 p,21 cm,14800,구매
492,LHCGSL00492,책들의 부엌,김지혜 지음,,,김78ㅊ,,813.7,,,9791165345204,,팩토리나인(쌤앤파커스),2022,,292 p,20 cm,14500,구매
493,LHCGSL00493,챗GPT,반병현 지음,,,반44ㅊ,,331.5412,,,9791192932057,,생능북스,2023,,168 p,23 cm,13000,구매
494,LHCGSL00494,천 개의 파랑,천선란 지음,,,천54ㅊ,,813.7,,,9791190090261,,허블,2020,,374 p,20 cm,14000,구매
495,LHCGSL00495,천문학자는 별을 보지 않는다,심채경 지음,,,심82ㅊ,,440.4,,,9788954677257,,문학동네,2021,,271 p,20 cm,15000,구매
496,LHCGSL00496,5번 레인,은소홀 글,,,은55ㅇ,아,813.8,,,9788954674638,,문학동네,2020,,235 p,22 cm,12500,구매
497,LHCGSL00497,청춘의 문장들,김연수 지음,,,김64ㅊ,,814.7,,,9788960907485,,마음산책,2022,,260 p,23 cm,15000,구매
498,LHCGSL00498,체리새우,황영미 지음,,,황64ㅊ,,813.7,,,9788954654753,,문학동네,2019,,199 p,21 cm,11500,구매
499,LHCGSL00499,(심영면 교장 선생님의)초등 독서의 힘,심영면 지음,,,심64ㅊ,,029.8,,,9788905054977,,지학사,2023,,264 p,22 cm,16500,구매
500,LHCGSL00500,초록이 가득한 하루를 보냅니다,정재경 지음,,,정73ㅊ,,818,,,9791164840687,,생각정거장,2020,,195 p,21 cm,14000,구매
501,LHCGSL00501,초예측 부의 미래,마루야마 슌이치 외 지음,,,마296ㅊ,,331.544,,,9788901241814,,웅진지식하우스,2020,,198 p,22 cm,15000,구매
502,LHCGSL00502,"총, 균, 쇠",재레드 다이아몬드 지음,,,다68ㅊ,,331.5,,,9788934942467,,김영사,2023,,783 p,22 cm,29800,구매
503,LHCGSL00503,최재천의 공부,최재천,,,최73ㅊ,,370.4,,,9788934943457,,김영사,2022,,302 p,21 cm,16500,구매
504,LHCGSL00504,(치유하고 치유받는)고양이 마사지,이시노 타카시,,,이58ㄱ,,527.4,,,9788985840170,,단츄별,2013,,127 p,21 cm,13000,구매
505,LHCGSL00505,친구에게,이해인 지음,,,이93ㅊ,,818,,,9788946473324,,샘터(샘터사),2020,,72 p,19 cm,12000,구매
506,LHCGSL00506,친구의 전설,이지은 지음,,,이78ㅊ,아,813.8,,,9788901277158,,웅진주니어(웅진씽크빅),2023,,[80] p,28 cm,16800,구매
507,LHCGSL00507,친애하는 나의 집에게,하재영 지음,,,하73ㅊ,,818,,,9791197024160,,라이프앤페이지,2020,,224 p,20 cm,15000,구매
508,LHCGSL00508,카탈로니아 찬가,조지 오웰 지음,,,세14ㅁ,,808,46,,9788937460463,,민음사,2019,,309 p,23 cm,10000,구매
509,LHCGSL00509,칼의 노래,김훈 지음,,,김96ㅋ,,813.7,,,9788954617246,,문학동네,2012,,"398 p., 도판 [10] p",20 cm,14000,구매
510,LHCGSL00510,코로나 시대의 교육,실천교육교사모임 지음,,,실83ㅋ,,370.4,,,9791190337441,,우리학교,2020,,214 p,19 cm,13000,구매
511,LHCGSL00511,코스모스,앤 드루얀 지음,,,드296ㅋ,,443.1,,,9791190403283,,사이언스북스,2020,,463 p,22 cm,22000,구매
512,LHCGSL00512,타이탄의 도구들,팀 페리스 지음,,,페298ㅌ,,325.211,,,9791158510619,,토네이도,2017,,367 p,22 cm,18000,구매
513,LHCGSL00513,태도의 말들,엄지혜 지음,,,엄78ㅌ,,818,,,9791189683030,,유유,2019,,217 p,19 cm,14000,구매
