번호,등록번호,서명,저자,서명권차,총서명,저자기호,별치기호,분류기호,청구권차,복본기호,ISBN,딸림자료,출판사,출판년도,발행지,페이지,크기,가격,등록일
1519,LHCGSL01519,시학,"아리스토텔레스 지음,이상인 옮김",,코기토 총서,코18,,802.1,,,9788964452721,,길,2023,서울:,339 p.:,24 cm,\33000,구매
1520,LHCGSL01520,"잃어버린 한국의 주택들  = ,In search of lost Korean houses",서재원,,"리-비지트 「space」 =,Re-visit space",리48,,549.70911,,,9791187071327,,공간서가 :CNB미디어,2024,서울:,397 p.:,29 cm,\36000,구매
1521,LHCGSL01521,"유교와 한국 근대성  : 현대 한국 사회의 기원에 대한 고찰  = ,Confucianism and Korean modemity : considerations on the origins of modern Korean society",나종석 지음,,유교문화연구총서,유15,,309.111,,,9788976464880,,예문서원,2024,서울:,638 p.:,24 cm,\50000,구매
1522,LHCGSL01522,유일자와 그의 소유,"막스 슈티르너 지음,박홍규 옮김",,,막57ㅇ,,165.55,648,,9788957338797,,아카넷,2023,파주:,558 p.:,22 cm,\33000,구매
1523,LHCGSL01523,"비대칭성 기반의 한국형 군사혁신  = ,Asymmetric K-RMA  : 국방혁신 4",신치범 지음,0의 비밀코드,,신86ㅂ,,391.11,,,9791193205198,,광문각출판미디어,2024,파주:,264 p.:,23 cm,\20000,구매
1524,LHCGSL01524,"웹툰,  시대를 읽다",서은영,,,서67ㅇ,,657.3,,,9791167426338,,역락,2024,서울:,309 p.:,20 cm,\20000,구매
1525,LHCGSL01525,인류세 책  : 행성적 위기의 다면적 시선,"줄리아 애드니 토머스,마크 윌리엄스,얀 잘라시에비치,옮긴이: 박범순,김용진",,,줄298ㅇ,,472.52,,,9791190944908,,이음,2024,서울:,348 p.:,22 cm,\25000,구매
1526,LHCGSL01526,(일상생활 개선으로 정복하는) 역류성식도염,조주영 지음,,,조76ㅇ,,513.33,,,9791155902578,,대한의학 :에스앤씨퍼블리싱,2023,서울:,180 p.:,21 cm,\16000,구매
1527,LHCGSL01527,"신유물론,  물질의 존재론과 정치학",박준영 지음,,,박76ㅅ,,137,013,,9788976828248,,그린비(그린비출판사),2023,서울:,800 p.:,22 cm,\37000,구매
1528,LHCGSL01528,의무론,"키케로,옮긴이: 임성진",,,키874ㅇ,,160.28,,,9788957339138,,아카넷,2024,파주:,360 p.:,20 cm,\24000,구매
1529,LHCGSL01529,자기생성과 인지  : 살아있음의 실현,"움베르또 R. 마뚜라나,프란시스코 바렐라,옮긴이: 정현주",,,움44ㅈ,,401,,,9788961953207,,갈무리,2023,서울:,336 p.:,19 cm,\21000,구매
1530,LHCGSL01530,판소리의 역사,정병헌,,,정44ㅍ,,679.312,,,9791168102101,,태학사,2023,파주:,679 p.:,23 cm,\32000,구매
1531,LHCGSL01531,보건장애학  : 장애와 건강 그리고 공중보건,"찰스 E. 드럼,글로리아 L. 크란,행크 버사니 주니어 엮음,박종혁,황인욱,김소영 옮김",,,찰57ㅂ,,338.31,,,9791187313694,,서울의학서적(꿈꿀자유 서울의학서적),2024,제주:,427 p.:,23 cm,\45000,구매
